Ni,Al,Co,Cr,Mo,Re,Ru,Ta,W,Ti,Nb,T,Stress,PI Creep Feature,Creep life
59.3,5.8,5.8,2.9,3.9,4.9,6,5.6,5.8,0,0,1100,137,944.6383951,1062.6
59.8,5.6,5.6,4.6,2.4,6.4,5,5.6,5,0,0,1000,245,952.3287926,1021
59.3,5.8,5.8,2.9,3.9,4.9,6,5.6,5.8,0,0,1000,245,952.3287926,932.3
61.68,6,9,3.5,1.5,4,0,8,6,0.2,0,1100,120,831.5186971,907
50.57,5.55,16.5,2,2,5.95,3,8.25,6,0,0,982,248,820.8086269,870
60.45,5.7,10,3.5,0.6,4.8,0,8,6,0.85,0,982,248,638.8711866,732
61.8,5.7,5.8,3.2,2.9,5.8,3.6,5.6,5.6,0,0,1100,137,763.4981535,722
69.97,5.78,1.75,2,0.4,6.5,0,8.2,5.4,0,0,950,300,696.0570322,690.1
61.8,5.7,5.8,3.2,2.9,5.8,3.6,5.6,5.6,0,0,1000,245,687.2451328,688
69.97,5.78,1.75,2,0.4,6.5,0,8.2,5.4,0,0,1050,150,626.2031782,637.5
59.8,5.6,5.6,4.6,2.4,6.4,5,5.6,5,0,0,1100,137,704.6383951,608
60.45,5.7,10,3.5,0.6,4.8,0,8,6,0.85,0,1121,103,580.8083748,599
58.83,5,12,4,2,5,0,7,6,0,0,980,250,522.7271491,589.2
54.79,6,9,4,1.5,5,5,7,7,0,0.5,1100,130,508.9673879,581
57.7,6,8,3,4,4,0,9,8,0,0,1070,140,504.6632211,576.3
57.7,6,8,3,4,4,0,9,8,0,0,980,250,525.8370613,567.8
60.3,5.7,10,4,0.6,4.5,0,8,6,0.8,0,982,248,493.1249731,493
57.7,6,8,3,4,4,0,9,8,0,0,1100,120,481.0539409,487.3
56.65,6,12.65,5,1.55,4.5,1.6,6.4,5.65,0,0,1050,150,477.6241891,468.4
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1070,137,454.4245549,461.2
56.79,6,9,4,1.5,5,3,7,7,0,0.5,1100,130,427.9314174,444
64,5.9,5.9,2.9,2.9,4.9,2,5.6,5.9,0,0,1100,137,420.7049117,410.3
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,982,248,437.322368,398
62.8,5.6,9,6.5,0.6,3,0,6.5,6,0,0,1100,117,381.2203652,391.8
56.5,6,7,7,3,4.5,3,8,5,0,0,1085,137,402.4588859,386.3
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1085,137,402.0807916,386.2
56.65,6,12.65,5,1.55,4.5,1.6,6.4,5.65,0,0,950,300,361.0498553,369.2
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,1121,103,349.0892256,369
52.2,6.1,14.5,3.5,2.4,4,3.9,8,5.4,0,0,950,400,324.4235608,328.2
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1100,137,324.6666333,322.1
56.5,6,7,7,3,4.5,3,8,5,0,0,1100,137,357.8003038,321.6
62.5,6,6,6,3,4.5,0,7,5,0,0,1070,137,324.2642487,320.9
66.5,6,4,2,0.5,6.5,0,9,5.5,0,0,1130,140,293.9262393,304
60.9,6,6.9,3.5,1,4,4,8,5.4,0,0,950,400,303.0675001,302.5
51.7,6,14.4,6.1,1,3.9,3.7,7.9,5.3,0,0,1100,140,312.3336753,302.1
58.98,5,12,4,2,5,0,7,6,0,0,980,250,482.7271491,450
60.9,6,6.9,3.5,1,4,4,8,5.4,0,0,1100,140,272.0823098,282.1
59.4,5.6,10,5,2,3,0,9,6,0,0,982,248,336.2939037,279.7
60.45,5.7,10,3.5,0.6,4.8,0,8,6,0.85,0,982,296,264.9759387,276
57.79,6,9,4,1.5,5,2,7,7,0,0,1150,100,338.7974404,276
61,5.6,9,4.3,2,2,0,7.5,8,0,0.6,980,250,272.8166439,275
60.8,5.7,9.5,6.3,0.6,3,0,6.7,6.6,0.8,0,950,290,286.3685094,275
62.8,5.6,7,3.5,2,4.5,0,7.5,6.5,0,0.5,1100,137,272.77422,274
65,6,6,3,3,5,0,6,6,0,0,1100,137,277.3718085,266.4
57.79,6,9,4,1.5,5,2,7,7,0,0.5,1100,140,260.0139252,264
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1070,160,262.7651713,263.8
61.7,6,7.1,3.6,1,4.4,2.6,7.9,5.4,0,0,1100,140,272.0823098,263.3
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1000,270,251.5832325,259.4
57.79,6,9,4,1.5,5,2,7,7,0,0.5,1100,140,260.0139252,256
61,6,6.9,3.5,2.4,4.1,2.7,8,5.5,0,0,1100,140,272.0823098,243.9
53.8,6.1,15,3.5,1,4.2,2.7,8.1,5.5,0,0,950,400,235.23422,237.5
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1140,120,227.8875391,233.5
60.45,5.7,10,3.5,0.6,4.8,0,8,6,0.85,0,1050,190,261.7236428,231
62.5,6,6,6,3,4.5,0,7,5,0,0,1085,137,269.6809089,230.6
60.45,5.7,10,3.5,0.6,4.8,0,8,6,0.85,0,1010,248,235.0426553,227
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1100,150,234.5755988,221.7
59.79,6,9,4,1.5,5,0,7,7,0,0.5,1100,140,218.559899,220
61.7,6,7.1,3.6,1,4.4,2.6,7.9,5.4,0,0,950,400,203.8945778,217.2
59.79,6,9,4,1.5,5,0,7,7,0,0.5,1100,140,218.559899,217
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1100,150,227.3679728,213.9
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1140,120,212.3336407,212.9
60,6,12,3,2,5,0,6,6,0,0,1100,137,217.7840047,208.8
62.5,6,6,6,3,4.5,0,7,5,0,0,1070,160,181.123762,206.1
61.4,5.7,9,4.3,2,2.1,0,7.5,8,0,0,1100,137,237.9175306,206
61.68,6,9,3.5,1.5,4,0,8,6,0.2,0,1100,137,237.9175306,206
52.2,6.1,14.5,3.5,2.4,4,3.9,8,5.4,0,0,1100,140,193.176478,205.1
62.81,5.76,8.99,4.41,1.87,1.77,0,7.2,7.01,0,0.79,980,250,192.4588996,197.9
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1000,270,188.1472805,190.6
56.5,6,7,7,3,4.5,3,8,5,0,0,1085,160,172.8443894,190.4
62.8,5.6,9,6.5,0.6,3,0,6.5,6,0,0,1150,100,188.3575472,188.3
59.79,6,9,4,1.5,5,0,7,7,0,0.5,1100,130,186.3890043,186.5
60.3,5.7,10,4,0.6,4.5,0,8,6,0.8,0,1050,190,174.3071272,184
60.35,5.71,9.94,4.76,3.04,3,0,7.74,3.9,1.01,0.55,1100,137,182.4438472,182
53.8,6.1,15,3.5,1,4.2,2.7,8.1,5.5,0,0,1100,140,193.176478,180
57.79,6,9,4,1.5,5,2,7,7,0,0,1120,140,121.8680119,177
62.74,5.53,6.05,2.78,3,4.38,2.85,7.77,4.9,0,0,1070,180,173.2396264,172.9
60.3,5.7,10,4,0.6,4.5,0,8,6,0.8,0,1010,248,153.8330606,169
56.5,6,7,7,3,4.5,3,8,5,0,0,1150,137,159.0921717,166
62.5,6,6,6,3,4.5,0,7,5,0,0,1100,137,154.6653554,164
62.5,6,6,6,3,4.5,0,7,5,0,0,1070,180,173.2396264,163.7
58.8,5.9,6.7,5.7,2.1,3.9,3.6,7.8,5.3,0,0,1100,140,163.4692814,163
61,6,6.9,3.5,2.4,4.1,2.7,8,5.5,0,0,950,400,154.1076886,154.4
58.8,5.9,6.7,5.7,2.1,3.9,3.6,7.8,5.3,0,0,950,400,149.5298085,154.1
54,6,12,5,1,5,3,8,6,0,0,1000,310,142.3287015,153.5
55.8,5.9,6.5,4.6,2.1,6.4,7,7.6,4,0,0,1150,137,159.0921717,152
61,5.6,9,4.3,2,2,0,7.5,8,0,0.6,1100,137,143.5119327,148
57,6,12,5,1,5,0,8,6,0,0,1000,310,111.5147054,147.2
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1100,165,134.1931862,146.9
58.4,6,12,3,2,5,1.6,6,6,0,0,1100,137,141.7819644,144
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1000,290,165.819376,143.6
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,1050,190,156.9590174,143
58.3,6,12,3,2,5,1.6,6,6,0,0,1100,137,141.7819644,140
57.05,5.47,9.46,4.57,4,2.83,3.96,7.38,3.77,0.98,0.53,1100,137,114.0505139,139.1
61.65,5.8,10,4.2,0.6,4,0,8,5,0.65,0,1010,248,132.5162254,139
69.97,5.78,1.75,2,0.4,6.5,0,8.2,5.4,0,0,1150,100,135.6931197,136.6
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1100,165,118.6431804,131
65.8,6,4,2,0.4,6.8,0,9,6,0,0,1130,140,128.9377248,130
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1000,290,131.7443785,127.9
59.79,6,9,4,1.5,5,0,7,7,0,0,1120,140,125.3031105,126
59.8,6,6.9,6.5,1,4,2.6,7.9,5.4,0,0,1100,140,125.3031105,124.6
61.68,6,9,3.5,1.5,4,0,8,6,0.2,0,1100,150,109.0351173,124
59.8,6,6.9,6.5,1,4,2.6,7.9,5.4,0,0,950,400,101.8333243,122.7
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1000,310,109.2921225,122.4
62.81,5.76,8.99,4.41,1.87,1.77,0,7.2,7.01,0,0.79,1100,130,121.9079692,122.1
61.7,6,8.9,6.9,1.4,2.9,0,6.7,5.5,0,0,1100,137,143.5119327,122
51.7,6,14.4,6.1,1,3.9,3.7,7.9,5.3,0,0,950,400,116.9776495,121.6
66.5,6,4,2,0.5,6.5,0,9,5.5,0,0,1080,190,119.1754058,119
65.8,6,4,2,0.4,6.8,0,9,6,0,0,1080,190,119.1754058,119
60.4,6,9,5,1,4.2,0,3.9,9,0,1.5,1000,280,119.4233364,118
56.5,6,7,7,3,4.5,3,8,5,0,0,1085,170,119.6909384,113.2
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1140,137,113.811569,113.1
62.8,5.6,7,3.5,2,4.5,0,7.5,6.5,0,0.5,1130,137,110.139613,110
59.79,6,9,4,1.5,5,0,7,7,0,0,1150,100,107.6084354,107
57.79,6,9,4,1.5,5,2,7,7,0,0,1130,140,121.8680119,103
66.4,6,4,2,0.4,6.2,0,9,6,0,0,1080,190,101.9165181,101
60,6,8,4,1,6,3,7,5,0,0,1150,130,103.2015373,108
61.4,5.6,9,2,2,4,0,7.5,8,0,0.5,1038,248,91.40046818,98.5
59.64,5.68,9.84,4.75,4.01,3,0,7.66,3.85,1.02,0.55,1100,137,94.01791978,95.2
58.8,5.9,6.5,4.6,1.1,6.4,5,7.6,4,0,0,1150,137,124.4948641,94
66.4,6,4,2,0.4,6.2,0,9,6,0,0,1130,140,113.9201549,94
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1000,310,92.24997153,93.8
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1140,137,100.1040255,93.6
60.89,5.8,10.02,4.84,2.03,3,0,7.82,4,1.04,0.56,1100,137,98.77405632,93.4
51.4,6,14.4,6.2,2.2,3.9,2.6,8,5.3,0,0,950,400,93.88372564,90
54,6,12,5,1,5,3,8,6,0,0,1100,180,86.0694308,87
61.68,6,9,3.5,1.5,4,0,8,6,0.2,0,1100,174,81.07021579,87
55.5,6,12,5,1,5,1.5,8,6,0,0,1000,310,86.20329145,86.5
55.5,6,12,5,1,5,1.5,8,6,0,0,1100,180,72.98749353,77.1
59.64,5.68,9.84,4.75,4.01,3,0,7.66,3.85,1.02,0.55,1100,137,74.82397716,77
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1100,180,76.76762341,74.2
59.79,6,9,4,1.5,5,0,7,7,0,0,1130,140,72.65169415,71
54.2,6,12,4,1,5.4,3,8.4,6,0,0,1140,150,70.64465111,70.9
57,6,12,5,1,5,0,8,6,0,0,1100,180,65.57744873,65.6
62.9,6.2,7.3,4.1,1.5,4.5,0,8,5.5,0,0,1100,140,62.03851116,61
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1100,180,61.9093537,59.6
59.1,5.6,9,4.3,2,4,0,7.5,8,0,0.5,1038,248,57.89531846,57.9
57.2,6,12,4,1,5.4,0,8.4,6,0,0,1140,150,53.36368454,55.7
60.1,5.6,9,4.3,2,3,0,7.5,8,0,0.5,1038,248,49.28002492,49.8
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,170,42.90804434,47.7
56.65,6,12.65,5,1.55,4.5,1.6,6.4,5.65,0,0,1150,100,45.25951634,45.4
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,169,44.15846825,42.1
51.4,6,14.4,6.2,2.2,3.9,2.6,8,5.3,0,0,1100,140,39.34378045,39.6
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1070,210,41.65849414,37.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,180,32.19481433,30
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,190,24.15645097,22.8
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1070,250,19.88003593,19.2
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,200,18.12509672,18.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,210,13.5996439,14.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1070,280,11.41438097,12.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,225,8.83890249,9.8
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1100,220,10.20410082,9.3
61,5.6,9,4.3,2,2,0,7.5,8,0,0.5,1070,272,8.275207689,8.3
