Material,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,Nb+Ta,Elongation,Reduction of Area,Stress,Temperature,Stacking Fault Energy,PI_creep_feature,creep_rupture_life
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,81,54,33,850,64.0064,2.8498,718.5
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,28,43,137,675,59.6453,2.8798,758.3
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,76,86,108,700,65.2279,2.9759,759.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,79,82,157,650,66.6471,2.9166,761.5
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,42,40,33,850,62.3719,2.8498,764.1
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,49,59,235,600,64.2349,2.9820,777.2
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,24,23,108,700,65.3684,2.9373,787.2
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,80,79,69,750,66.7895,2.7584,802.2
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,20,16,235,600,63.2041,3.0517,804.7
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,54,83,157,650,66.6471,2.9166,811.4
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,45,52,235,600,66.7612,2.9213,811.4
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,18,15,235,600,60.2786,3.0517,824.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,9,12,69,750,65.3684,2.7178,825.2
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,79,80,157,650,66.6248,2.9082,825.7
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,55,72,157,650,66.7612,2.9364,857
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,75,71,69,750,66.6025,2.8898,865
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,48,61,216,600,66.6025,2.9809,868.5
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,26,28,235,600,64.0064,3.0517,870.9
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,47,62,216,600,66.6025,2.9809,887.7
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,64,79,108,700,67.3807,2.8549,888.5
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,39,50,108,700,63.5551,3.0293,923.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,44,70,235,600,66.6471,3.0128,925.4
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,36,46,157,650,62.6117,3.1618,1009.9
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,43,35,41,800,60.6679,3.1029,1010
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,35,46,235,600,62.6117,3.0528,1013.7
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,65,66,69,750,64.2349,2.8996,1015
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,47,75,235,600,65.2279,3.0929,1027.1
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,28,37,235,600,60.6679,3.0517,1033
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,98,72,69,750,66.6248,3.0428,1036.2
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,34,41,235,600,67.3807,3.2151,1036.8
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,80,79,69,750,66.6471,3.0916,1048.9
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,39,39,235,600,59.6453,3.2151,1049.5
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,29,28,69,750,66.7612,3.0000,1081.9
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,41,62,353,550,61.1435,2.8596,1090.7
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,13,25,69,750,63.5551,3.0454,1122.4
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,91,74,69,750,58.7002,3.0798,1157.8
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,49,56,255,600,58.7002,3.0382,1164
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,98,60,69,750,57.9359,3.1186,1192.2
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,43,36,88,700,62.3719,3.2268,1217.4
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,31,30,41,800,62.3719,3.1029,1221.7
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,51,68,186,650,57.9359,3.0805,1223
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,109,80,108,700,58.7002,3.0981,1239.2
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,69,51,41,800,64.0064,3.1029,1239.4
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,75,60,41,800,67.3807,3.0737,1268.2
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,67,83,157,650,65.2279,3.1049,1295.3
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,41,40,88,700,60.6679,3.2268,1304.8
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,67,78,69,750,65.2279,3.0765,1317.6
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,77,71,108,700,57.9359,3.0271,1319
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,59,45,41,800,60.2786,3.1029,1322.9
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,78,64,137,650,66.6025,3.2314,1335.9
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,74,74,26,850,67.3807,3.1539,1337.8
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,55,76,176,650,61.1435,3.1323,1356.1
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,52,47,41,800,63.2041,3.1029,1358.1
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,44,43,88,700,63.2041,3.2268,1359.3
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,56,54,157,650,65.3684,3.1945,1369.4
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,78,66,88,700,64.0064,3.2360,1370.5
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,40,41,137,650,62.3719,3.3366,1425
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,67,57,41,800,66.7895,3.1029,1440
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,38,38,41,800,59.6453,3.1613,1460.1
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,48,45,88,700,60.2786,3.2268,1485.1
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,34,37,88,700,59.6453,3.3371,1500.4
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,20,27,108,700,62.6117,3.2942,1507.3
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,45,46,137,650,63.2041,3.3366,1545.4
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,28,31,26,850,60.6679,3.4226,1598.8
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,77,77,157,650,64.2349,3.0456,1600.8
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,5,6,53,750,65.3684,3.1008,1620
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,56,43,26,850,64.0064,3.4226,1622.7
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,87,73,88,700,66.6025,3.3292,1636.2
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,68,68,88,700,66.7895,3.2268,1684.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,6,7,53,750,65.3684,3.1008,1687.4
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,92,75,167,650,58.7002,3.1953,1694
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,7,7,53,750,65.3684,3.1008,1702.3
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,40,57,216,600,66.7612,3.2260,1704.9
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,34,52,216,600,63.5551,3.2149,1722.7
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,45,36,53,750,60.6679,3.3399,1724.7
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,47,72,216,600,66.6248,3.2194,1734
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,36,66,235,600,65.3684,3.2746,1754.9
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,75,68,137,650,66.7612,3.3768,1770.6
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,68,75,137,650,66.6248,3.3605,1785
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,83,73,88,700,66.6025,3.3292,1796.7
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,38,50,343,550,58.7002,3.1208,1826
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,44,42,33,850,63.2041,2.8498,1839.2
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,42,55,255,600,57.9359,3.3084,1840.9
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,38,44,235,600,66.7895,3.0517,1930.4
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,45,54,137,650,60.2786,3.3366,1933.1
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,55,34,26,850,66.7895,3.4226,1936.8
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,42,72,216,600,66.6471,3.2706,1977.2
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,26,42,157,650,59.6453,3.2254,1998.4
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,5,1,53,750,65.3684,3.1008,2046.7
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,8,13,88,700,65.3684,3.2896,2091.1
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,30,26,53,750,62.3719,3.3399,2094.6
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,59,79,137,650,66.6471,3.3544,2127.1
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,39,39,26,850,60.2786,3.4226,2130.4
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,52,43,53,750,60.2786,3.3399,2137.3
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,42,34,26,850,59.6453,3.3391,2138.7
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,33,44,137,650,63.5551,3.5113,2141
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,62,73,137,650,64.0064,3.3366,2141.1
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,37,61,216,600,64.2349,3.3275,2167.3
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,44,45,88,700,66.7612,3.4479,2169.7
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,39,51,333,550,58.7002,3.3308,2177
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,8,12,88,700,65.3684,3.2896,2193.6
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,37,43,137,650,60.6679,3.3366,2266.8
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,35,33,78,700,60.6679,3.4823,2285.6
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,39,37,216,600,62.6117,3.3858,2309.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,70,72,88,700,66.6471,3.5004,2357
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,31,30,26,850,62.3719,3.4226,2382
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,69,64,88,700,64.2349,3.4136,2406.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,62,76,216,600,66.6471,3.2706,2444.5
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,47,56,157,650,67.3807,3.2254,2458.7
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,34,37,216,600,62.6117,3.3858,2482.3
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,52,71,88,700,66.6471,3.5004,2495.1
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,98,63,78,700,64.0064,3.4856,2506.9
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,53,66,167,650,57.9359,3.4147,2575.7
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,35,30,78,700,62.3719,3.4823,2590.7
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,5,10,69,750,62.6117,3.3245,2622
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,70,73,88,700,67.3807,3.3371,2639
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,52,44,53,750,63.2041,3.3399,2651.2
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,55,69,137,650,66.7895,3.3366,2661.5
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,62,51,88,700,66.6248,3.4564,2686.6
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,35,34,53,750,59.6453,3.4394,2690.6
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,53,66,196,600,66.6025,3.3632,2716.3
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,49,46,53,750,64.0064,3.3399,2725.8
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,73,62,53,750,67.3807,3.4394,2734.6
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,40,37,78,700,60.2786,3.4823,2759.4
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,12,19,88,700,63.5551,3.5363,2775.4
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,64,73,137,650,64.2349,3.4716,2819.6
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,36,29,33,800,60.6679,3.5483,2823
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,39,37,78,700,63.2041,3.4823,2872.2
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,44,38,26,850,63.2041,3.4226,2911.8
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,53,62,88,700,65.2279,3.5377,2944.8
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,85,59,53,750,66.7895,3.3399,2979.4
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,57,78,137,650,65.2279,3.5326,3073.2
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,49,36,33,800,60.2786,3.5483,3109
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,57,51,33,800,67.3807,3.4461,3125.9
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,46,63,333,550,61.1435,3.6197,3216.8
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,29,27,78,700,59.6453,3.6029,3283
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,56,37,33,800,64.0064,3.5483,3349.4
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,47,80,216,600,65.2279,3.4071,3417.5
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,56,62,235,600,58.7002,3.6648,3438
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,86,69,78,700,66.7895,3.4823,3461
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,27,25,33,800,62.3719,3.5483,3463.8
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,17,22,137,650,62.6117,3.6315,3568.2
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,8,2,37,750,65.3684,3.5877,3581.9
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,45,32,41,775,59.6453,3.5560,3597.5
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,9,3,41,750,65.3684,3.4523,3611.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,21,26,137,650,65.3684,3.6595,3760
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,67,66,88,700,58.7002,3.5597,3858.3
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,55,66,235,600,58.7002,3.6648,3873.8
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,41,53,333,550,57.9359,3.2543,3905.2
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,69,61,78,700,67.3807,3.6029,3957.9
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,37,34,33,800,63.2041,3.5483,3975.7
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,33,65,216,600,65.3684,3.5763,3980.5
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,33,30,33,800,59.6453,3.6271,4027.9
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,94,60,88,700,57.9359,3.4946,4030.5
