Ti,Al,V,Fe,C,N,H,O,Sn,Nb,Mo,Zr,Si,B,Cr,Solution treated temp(cel),ST time (h),Anneal temp (cel),Annealing Time (hour),steady state strain rate (1/s),Strain to rupture (%) (Efc),PI_creep_feature,Temperature of creep test (cel),stress,Creep Life
89.98,5.79,3.86,0.07,0.03,0,0,0.12,0,0,0,0,0.15,0,0,800,0.67,800,0.66,1.10E-05,3.9,0.729,700,45,1
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,0.000139,0,-4.529,600,319,0.17
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,0,0,190,6,0.000157,17.4,-4.529,600,319,0.17
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,0.000139,17.4,-4.529,600,319,0.17
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,0,1.3,2.266,400,250,72
89.255,6,4,0.4,0.08,0.05,0.015,0.2,0,0,0,0,0,0,0,0,0,0,0,8.33E-08,19.18,2.189,500,125,427
84.582,5.8,0,0,0.06,0.008,0,0.08,3.98,0.57,0.71,3.74,0.28,0.19,0,1025,2,700,2,0,29.3,2.363,600,150,266.55
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,7.43E-07,3.51,2.499,750,225,93.65
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,2.50E-06,0,2.59,600,125,0.833
89.11,5.98,4.25,0.23,0,0,0.2,0,0,0,0,0,0.23,0,0,0,0,750,1,0.000174,2.096,1.795,650,150,0.683
89.255,6,4,0.4,0.08,0.05,0.015,0.2,0,0,0,0,0,0,0,0,0,0,0,0.000352,26.58,1.925,600,319,0.09
89.255,6,4,0.4,0.08,0.05,0.015,0.2,0,0,0,0,0,0,0,0,0,0,0,0.000111,35.9,1.943,600,250,0.35
89.639,5.98,4.07,0.2,0.005,0.005,0.001,0.1,0,0,0,0,0,0,0,0,0,0,0,4.87E-05,22,1.929,600,300,0.19
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,1.79E-05,0,0.393,700,42,0.325
89.98,5.79,3.86,0.07,0.03,0,0,0.12,0,0,0,0,0.15,0,0,800,0.67,800,0.66,2.60E-06,1,1.038,700,18,1
87.875,6.75,4.5,0.4,0.1,0.05,0.125,0.2,0,0,0,0,0,0,0,690,4,1050,0.5,0.00209,15.8,-0.136,700,319,0.01
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,4.33E-05,0,0.318,700,56,0.141
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,3.24E-06,0,-0.136,600,319,0.012
89.255,6,4,0.4,0.08,0.05,0.015,0.2,0,0,0,0,0,0,0,0,0,0,0,0.000419,55.69,0.108,700,125,0.11
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,4.40E-05,0,-0.073,600,250,0.031
84.773,5.78,0,0,0.06,0.007,0,0.09,4.01,0.55,0.72,3.71,0.3,0,0,945,2,700,2,0,95,2.163,600,150,155
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,950,1,530,6,3.57E-06,76.4,1.802,550,450,16
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,950,1,530,6,2.98E-06,70.4,1.832,550,400,17
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,950,1,530,6,1.73E-06,44.9,1.865,550,350,24
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,950,1,530,6,7.81E-07,42.8,1.904,550,300,30
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,1050,0.5,950,1,9.90E-07,6.67,2.117,600,208,61.33
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,5.72E-07,2.18,2.482,750,200,70.6
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,0,4.7,2.263,500,200,71.56
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,1050,0.5,950,1,2.45E-08,6.5,2.225,600,97,560
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,9.27E-08,0,2.263,500,200,72
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,5.34E-09,0,2.482,400,200,72
84.773,5.78,0,0,0.06,0.007,0,0.09,4.01,0.55,0.72,3.71,0.3,0,0,995,2,700,2,0,43,2.163,600,150,139
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,0,0.7,2.482,400,200,72.05
89.41,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,5.90E-05,13.5,2.254,538,241,50
88.91,5.98,4.25,0.23,0,0,0.4,0,0,0,0,0,0.23,0,0,0,0,750,1,0.000118,1.273,0.609,650,100,0.873
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,0.00213,0,0.318,700,319,0.05
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,2.55E-05,0,0.409,600,222,0.096
88.91,5.98,4.25,0.23,0,0,0.4,0,0,0,0,0,0.23,0,0,0,0,750,1,0.000509,1.124,0.507,650,150,0.145
89.98,5.79,3.86,0.07,0.03,0,0,0.12,0,0,0,0,0.15,0,0,800,0.67,800,0.66,3.50E-05,16.45,0.662,700,81,1
89.98,5.79,3.86,0.07,0.03,0,0,0.12,0,0,0,0,0.15,0,0,800,0.67,800,0.66,0.00011,3.62,0.551,700,126,0.34
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,0.000128,0,0.553,700,125,0.49
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,1.10E-06,0,1.101,700,14,12.5
89.31,5.98,4.25,0.23,0,0,0,0,0,0,0,0,0.23,0,0,0,0,750,1,0.000136,2.071,1.881,650,150,1.371
89.255,6,4,0.4,0.08,0.05,0.015,0.2,0,0,0,0,0,0,0,0,0,0,0,1.13E-05,40.17,1.816,600,125,5.58
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,4.20E-08,0.035,2.252,500,100,47.73
89.0434,6.51,4.08,0.16,0.01,0.005,0.0016,0.19,0,0,0,0,0,0,0,0,0,1030,0.5,1.27E-06,0,2.664,455,379,1744
89.0434,6.51,4.08,0.16,0.01,0.005,0.0016,0.19,0,0,0,0,0,0,0,0,0,940,4,9.16E-07,0,2.664,455,379,1619
89.0434,6.51,4.08,0.16,0.01,0.005,0.0016,0.19,0,0,0,0,0,0,0,0,0,1030,0.5,1.03E-05,0,2.649,455,489,209
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,940,0,480,24,2.30E-07,15.26,2.639,420,575,81
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,1100,0.42,480,0,0.000515,15.51,2.639,400,575,72
89.3,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0.11,0,0,0,900,2,4.44E-09,16.31,2.677,475,300,4722.22
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1123,6,0,0,2.564,773,364,359.23
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,993,2,0,0,2.522,773,410.5,128.73
85.987,6.2,0,0,0.021,0.004,0.008,0.03,1.95,0,2,3.8,0,0,0,900,1,580,8,0.00012,0,2.458,520,310,1160
89.1,6.44,3.87,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,8.41E-08,18,2.573,450,400,270
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1373,1,0,0,2.564,773,364.1,412.33
89.0434,6.51,4.08,0.16,0.01,0.005,0.0016,0.19,0,0,0,0,0,0,0,0,0,720,0,4.72E-06,0,2.58,455,345,714
89.0434,6.51,4.08,0.16,0.01,0.005,0.0016,0.19,0,0,0,0,0,0,0,0,0,720,0,9.69E-05,0,2.563,455,489,36
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,9.64E-07,0,2.496,500,361,5.33
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,2.38E-06,0,2.492,500,319,11.53
88.25,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0,0,1050,0.5,550,24,1.44E-07,13.26,2.491,500,300,105.2
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,8.95E-07,1.28,2.491,750,300,165.7
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,5.18E-07,1.6,2.462,750,175,46.82
89.1,6.44,3.87,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,3.86E-06,42,1.96,600,200,8
84.773,5.78,0,0,0.06,0.007,0,0.09,4.01,0.55,0.72,3.71,0.3,0,0,1025,2,700,2,0,66,2.163,600,150,210
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,0,0,1050,0.5,1.66E-06,34.7,1.995,600,125,32.52
87.875,6.75,4.5,0.4,0.1,0.05,0.125,0.2,0,0,0,0,0,0,0,690,4,1050,0.5,4.44E-05,23.7,1.977,600,319,0.62
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,5.27E-08,0.0423,2.052,500,120,48.07
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,950,1,600,24,2.21E-05,19.5,1.996,600,250,1.23
89.639,5.98,4.07,0.2,0.005,0.005,0.001,0.1,0,0,0,0,0,0,0,0,0,0,0,1.14E-05,37.5,1.952,600,222,2.19
87.875,6.75,4.5,0.4,0.1,0.05,0.125,0.2,0,0,0,0,0,0,0,690,4,1050,0.5,8.44E-06,9.8,2.266,600,250,2.03
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,0,0,1050,0.5,5.53E-05,23.6,1.709,600,319,0.56
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,0,0,1050,0.5,2.00E-05,16.9,1.996,600,250,1.75
84.582,5.8,0,0,0.06,0.008,0,0.08,3.98,0.57,0.71,3.74,0.28,0.19,0,1055,2,700,2,0,26.4,2.363,600,150,705.53
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,5.95E-09,0,2.266,400,250,72
89.41,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0,9.00E-07,22.3,2.323,538,103,4681
89.7488,5.9,3.9,0.17,0.029,0.0031,0.0031,0.246,0,0,0,0,0,0,0,0,0,720,2,5.56E-08,2.49,2.763,315,673,8.66
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,980,0,480,24,1.33E-07,16,2.762,420,575,151.5
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,1100,0.42,480,150,0.000503,16.13,2.762,410,575,230
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,1000,0,480,24,8.89E-08,11.24,2.762,420,575,180
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,1.19E-05,0,2.502,500,465,1.92
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,1.19E-05,12.9,2.502,500,465,1.92
89.35,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0.06,0,0,0,900,2,2.55E-06,14.85,2.291,550,300,6.88
89.3,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0.11,0,0,0,900,2,2.25E-06,17.94,2.291,550,300,7.66
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,1.21E-07,0.056,2.443,500,140,47.99
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,2.12E-07,0.087,1.987,500,140,47.81
84.582,5.8,0,0,0.06,0.008,0,0.08,3.98,0.57,0.71,3.74,0.28,0.19,0,995,2,700,2,0,41,2.376,600,150,432
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,0,24.9,2.265,500,300,70.54
85.26,5.7,0,0,0.04,0,0,0,4.8,0.69,1,2.2,0.31,0,0,1050,0.5,700,2,0,5.59,2.259,600,310,55.84
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,4.86E-07,0,2.265,500,300,72
84.582,5.8,0,0,0.06,0.008,0,0.08,3.98,0.57,0.71,3.74,0.28,0.19,0,945,2,700,2,0,51.2,2.376,600,150,460
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,1000,0,480,24,0.000332,3.175,2.762,400,575,448
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,980,0,480,24,0,5.25,2.762,400,575,447.57
89.35,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0.06,0,0,0,900,2,2.55E-08,14.22,2.514,475,300,750
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,940,0,480,24,0.000731,15.36,2.762,400,575,430
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1373,1,0,0,2.513,773,311.75,674.96
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1123,6,0,0,2.513,773,312.81,690.16
85.987,6.2,0,0,0.021,0.004,0.008,0.03,1.95,0,2,3.8,0,0,0,1050,1,550,24,1.00E-05,0,2.513,520,310,750
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,993,2,0,0,2.513,773,312.57,549.81
87.75,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.5,0,1050,0.5,550,24,8.36E-08,23.15,2.514,500,300,628.41
89.0434,6.51,4.08,0.16,0.01,0.005,0.0016,0.19,0,0,0,0,0,0,0,0,0,940,4,1.58E-05,0,2.649,455,489,107
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1373,1,0,0,2.511,773,333.49,453.48
89.2024,6.29,4.13,0.194,0.0055,0.0077,0.0044,0.166,0,0,0,0,0,0,0,0,0,1123,6,0,0,2.511,773,333.4,493.3
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,4.43E-05,0,2.47,500,520,0.0462
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,1.19E-05,0,2.47,500,465,0.3
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,1050,0.5,950,1,4.78E-09,1.15,2.474,500,291,165
89.35,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0.06,0,0,0,900,2,1.36E-07,21.46,2.474,500,300,154.72
89.41,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,900,2,4.72E-08,3.9,2.474,475,300,148.33
87.75,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.5,0,1050,0.5,550,24,8.36E-08,7.64,2.474,500,300,135.83
88.05,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.2,0,1050,0.5,550,24,9.27E-08,11.53,2.474,500,300,113.76
89.3,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0.11,0,0,0,900,2,1.06E-07,23.07,2.474,500,300,185.27
89.639,5.98,4.07,0.2,0.005,0.005,0.001,0.1,0,0,0,0,0,0,0,0,0,0,0,2.02E-05,28.4,1.737,600,250,0.82
89.7488,5.9,3.9,0.17,0.029,0.0031,0.0031,0.246,0,0,0,0,0,0,0,0,0,720,2,2.83E-05,5.36,1.838,650,241,0.7
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,950,1,600,24,2.05E-06,36.8,1.995,600,125,22.07
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,0,0,190,6,5.38E-05,19.4,1.943,600,250,0.62
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,9.81E-07,52.9,1.845,600,97,40.13
89.7488,5.9,3.9,0.17,0.029,0.0031,0.0031,0.246,0,0,0,0,0,0,0,0,0,720,2,3.00E-06,5.36,1.889,650,138,9.1
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,1.84E-08,0.027,1.867,500,80,47.81
89.7488,5.9,3.9,0.17,0.029,0.0031,0.0031,0.246,0,0,0,0,0,0,0,0,0,720,2,7.00E-07,21.1,1.915,650,104,50.8
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,7.12E-08,0.05,1.867,500,80,49.24
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,4.43E-05,19.38,1.996,600,250,0.62
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,7.80E-05,20.1,1.932,600,291,0.37
89.639,5.98,4.07,0.2,0.005,0.005,0.001,0.1,0,0,0,0,0,0,0,0,0,0,0,3.37E-05,24,1.935,600,278,0.34
89.7488,5.9,3.9,0.17,0.029,0.0031,0.0031,0.246,0,0,0,0,0,0,0,0,0,720,2,5.46E-05,17.82,1.815,650,310,0.3
89.256,6.33,4,0.2,0.03,0.01,0.004,0.17,0,0,0,0,0,0,0,950,1,600,24,6.10E-05,10.7,1.812,600,319,0.25
89.68,5.5,3.87,0.22,0.08,0.05,0.4,0.2,0,0,0,0,0,0,0,1040,1,0,0,8.55E-08,0.057,1.841,500,100,47.9
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,2.50E-06,0,1.995,600,125,14
89.41,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,900,2,3.05E-06,4.82,2.291,550,300,2.86
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,4.83E-07,1.4,2.056,750,150,22.33
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,4.43E-05,0,2.499,500,520,0.36
87.875,6.75,4.5,0.4,0.1,0.05,0.125,0.2,0,0,0,0,0,0,0,690,4,1050,0.5,3.88E-07,28.6,2.077,600,125,102.12
84.773,5.78,0,0,0.06,0.007,0,0.09,4.01,0.55,0.72,3.71,0.3,0,0,1055,2,700,2,0,43.5,2.376,600,150,526.9
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,970,1,530,6,1.00E-07,42,2.491,500,300,50
89.41,6,4,0.25,0.08,0.05,0.01,0.2,0,0,0,0,0,0,0,0,0,900,2,2.70E-07,7.48,2.265,500,300,46.66
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,0,0,0,0,2.83E-07,56.6,2.265,500,300,50
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,1010,1,530,6,2.14E-07,47.4,2.265,500,300,50
85.26,5.7,0,0,0.04,0,0,0,4.8,0.69,1,2.2,0.31,0,0,1050,0.5,700,2,0,4.75,2.492,600,310,37.17
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,9.64E-07,15,2.232,500,361,28.19
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,0,6.9,2.307,500,250,71.193
82.34,5.6,5.08,0.95,0,0,0,0,0,0,5.08,0,0,0,0.95,0,0,0,0,1.87E-07,0,2.307,500,250,72
85.26,5.7,0,0,0.04,0,0,0,4.8,0.69,1,2.2,0.31,0,0,1050,0.5,700,2,0,4.09,1.524,600,310,18.49
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,0,0,3.20E-07,0,1.519,500,312,20
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,4.43E-05,10.9,2.499,500,520,0.36
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,7.82E-07,5.54,2.296,750,250,118.15
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,970,1,530,24,2.40E-07,45.5,2.265,500,300,50
88.26,6.29,0,0.05,0.01,0.05,0.01,0.03,0,0,3.38,1.68,0.24,0,0,950,1,530,6,1.92E-07,44.2,2.265,500,300,50
87.81,6.61,4.23,1.18,0.026,0.011,0.003,0.13,0,0,0,0,0,0,0,0,0,950,1,2.63E-07,35.1,2.27,500,291,96.79
88.05,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.2,0,1050,0.5,550,24,9.27E-08,19.43,2.474,500,300,306.7
88.25,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0,0,1050,0.5,550,24,1.44E-07,26.22,2.474,500,300,328.28
48,48,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1260,4,9.06E-07,1.76,2.512,750,325,192.36
87.875,6.75,4.5,0.4,0.1,0.05,0.125,0.2,0,0,0,0,0,0,0,690,4,1050,0.5,9.72E-08,11.2,2.512,500,319,224
85.26,5.7,0,0,0.04,0,0,0,4.8,0.69,1,2.2,0.31,0,0,1050,0.5,700,2,0,7.05,2.259,600,310,91.45
87.75,6,0,0,0,0,0,0,0,0,0.5,5,0.25,0.5,0,1050,0.5,550,24,8.36E-08,16.64,2.474,500,300,371.04
