Material,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,Nb+Ta,Elongation,Reduction of Area,Stress,Temperature,creep_rupture_life
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,55,61,235,650,29.2
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,68,78,157,700,34.5
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,72,77,235,650,38.8
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,106,80,177,700,39
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,75,83,157,700,40.2
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,62,75,157,700,40.8
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,81,85,157,700,43
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,73,74,157,700,44.4
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,72,86,157,700,48.7
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,65,79,157,700,51.5
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,116,85,157,700,52.2
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,64,72,216,650,52.8
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,61,76,216,650,54
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,91,81,108,750,58.3
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,90,86,108,750,62.4
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,82,79,137,700,69.3
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,66,77,157,700,71.9
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,105,83,108,750,72.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,84,78,216,650,72.4
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,102,82,137,700,73.9
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,63,63,196,650,75
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,59,73,216,650,78.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,48,60,108,750,81.4
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,95,78,137,700,83.3
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,59,55,216,650,86.1
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,109,83,137,700,86.4
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,50,58,157,700,86.9
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,134,89,108,750,92.9
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,16,20,265,600,93.3
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,39,65,373,550,96.6
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,16,22,265,600,97.2
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,85,80,137,700,99.4
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,84,83,137,700,103.3
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,107,83,137,700,107.2
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,72,74,196,650,108.5
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,56,80,216,650,108.8
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,85,84,137,700,109.9
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,59,67,294,600,119
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,79,76,137,700,123.9
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,108,73,137,700,126.6
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,64,81,196,650,126.8
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,129,89,88,750,126.8
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,93,81,137,700,129.1
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,62,69,196,650,130.5
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,68,70,196,650,130.6
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,60,65,196,650,131.1
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,89,79,88,750,135.2
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,75,73,216,650,139.8
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,59,76,196,650,139.8
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,93,87,137,700,140.9
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,119,85,88,750,145.3
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,56,70,196,650,148.9
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,84,69,137,700,151.6
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,21,16,265,600,158.3
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,80,83,88,750,161.4
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,56,74,196,650,161.7
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,81,61,88,750,161.9
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,81,67,88,750,162.7
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,53,72,196,650,163.1
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,69,72,196,650,166
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,87,72,88,750,170.1
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,69,78,147,700,171.5
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,65,57,88,750,172.6
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,49,56,196,650,176.5
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,49,59,196,650,177
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,57,66,216,650,178
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,68,64,137,700,179.4
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,75,76,137,700,183.4
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,76,79,137,700,184.2
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,88,78,147,700,184.5
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,64,82,196,650,186.2
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,98,83,88,750,187.4
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,41,43,265,600,188.2
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,42,64,363,550,190.4
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,112,86,88,750,194.3
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,31,35,265,600,207.4
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,49,64,284,600,207.5
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,48,67,196,650,210.6
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,53,64,284,600,214.8
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,36,55,108,750,216
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,37,39,265,600,217.4
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,54,75,196,650,218.1
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,33,33,88,750,218.2
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,45,73,196,650,219
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,91,76,88,750,223.4
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,48,66,373,550,225.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,72,84,88,750,234
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,98,79,88,750,234.8
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,45,62,265,600,238.9
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,28,16,265,600,243
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,85,81,88,750,252.2
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,62,78,196,650,254
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,24,18,265,600,254.5
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,65,70,88,750,265.8
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,93,85,88,750,269
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,27,24,265,600,269.7
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,109,81,88,750,275
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,49,51,137,700,287.5
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,149,85,88,750,291.4
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,42,47,265,600,307.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,56,57,265,600,321.1
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,56,41,53,800,342.5
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,29,38,265,600,364.4
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,42,54,265,600,366.1
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,54,55,235,600,373.8
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,100,73,53,800,388.4
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,46,40,53,800,389.6
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,99,70,53,800,390.6
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,49,56,265,600,400.2
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,68,53,53,800,407.2
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,82,60,53,800,409
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,75,63,108,700,417.6
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,127,82,108,700,425.1
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,65,70,127,700,428
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,96,67,108,700,433
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,112,81,127,700,437.5
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,83,62,53,800,447.7
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,123,73,53,800,457.7
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,85,80,108,700,468.7
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,72,59,108,700,469.8
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,88,75,157,650,495.8
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,78,66,108,700,498
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,46,49,108,700,511.8
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,49,70,353,550,514
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,112,81,108,700,535.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,46,67,265,600,547.1
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,47,55,69,750,555.4
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,68,68,33,850,564.5
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,77,77,186,650,574.8
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,123,78,69,750,576.5
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,41,35,33,850,578.4
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,76,82,108,700,586.7
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,98,84,108,700,592
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,56,74,177,650,615
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,54,43,69,750,615.4
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,66,55,265,600,623
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,38,48,33,850,623.4
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,78,77,108,700,624.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,66,82,108,700,624.4
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,70,67,108,700,625.5
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,64,52,33,850,625.7
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,44,60,363,550,633.3
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,93,73,69,750,640.5
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,63,49,69,750,644.1
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,63,50,69,750,656.4
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,42,61,235,600,658
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,62,67,265,600,659.4
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,59,48,33,850,661.6
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,88,79,69,750,679.6
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,19,15,235,600,680.6
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,53,56,157,650,703.6
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,24,30,88,750,703.9
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,51,72,235,600,713.4
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,81,54,33,850,718.5
