Material,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,Nb+Ta,Elongation,Reduction of Area,Stress,Temperature,creep_rupture_life
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,21,34,98,650,19876.8
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,7,11,98,650,19878.8
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,69,71,157,600,19980.4
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,35,45,98,650,19996.8
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,5,1,37,750,20054.7
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,22,21,33,750,20245.3
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,18,18,61,700,20446.7
19,0.011,0.57,0.84,0.025,0.003,11.14,16.85,2.25,0.27,0.001,0.006,0.0002,0.0751,0.004,38,48,294,550,21066.2
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,17,17,33,750,21227.4
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,57,58,108,650,21448.2
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,45,44,53,700,21478.8
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,20,19,20,800,21527.8
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,68,51,108,650,21548.2
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,29,32,20,800,21557.2
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,28,21,37,750,21757
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,63,70,196,600,22090.9
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,67,34,26,750,22181.1
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,4,6,108,650,22285.6
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,28,38,294,550,22927.2
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,40,26,33,750,23024.4
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,8,4,88,650,24245.5
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,24,39,157,600,24435.5
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,26,37,61,700,24442.4
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,56,77,157,600,24572.5
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,17,17,20,800,24706.3
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,3,3,53,700,24934.3
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,16,26,157,600,25009.3
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,34,48,98,650,25771.7
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,29,19,20,800,25804
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,48,72,196,600,26153
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,60,67,196,600,26436.3
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,5,1,41,700,26491.3
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,27,20,53,700,26746.7
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,11,9,53,700,26892
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,5,5,83,650,27512.1
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,36,45,61,700,28241.8
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,31,26,20,800,28514
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,77,81,157,600,29004.7
12,0.07,0.58,1.67,0.027,0.011,10.42,17.3,2.37,0.17,0.047,0.03,0.0007,0.029,0.03,45,23,41,700,29350.2
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,5,8,98,650,29708
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,24,20,53,700,29984
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,51,54,137,600,30572.5
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,45,55,98,650,30880.5
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,5,8,26,750,31484.9
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,35,26,53,700,31653.1
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,4,1,29,700,31762.4
11,0.07,0.81,1.75,0.026,0.01,10.28,16.97,2.44,0.15,0.044,0.04,0.0016,0.0241,0.04,37,31,41,700,32409
17,0.012,0.55,0.87,0.025,0.005,11.22,16.79,2.02,0.28,0.001,0.015,0.0002,0.0765,0.007,21,23,53,700,32510.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,21,30,37,750,32781.8
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,4,2,78,650,32942.1
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,26,22,33,750,33223.6
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,22,16,26,750,33278.6
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,4,4,88,650,33399
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,25,36,157,600,33638.9
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,31,25,53,700,33653.6
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,47,40,47,700,33723.4
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,17,28,88,650,33882.8
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,21,33,88,650,34199
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,28,34,61,700,34728.8
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,14,13,53,700,35050.9
14,0.07,0.61,1.41,0.026,0.007,12.18,16.97,2.25,0.34,0.018,0.006,0.0008,0.0218,0.03,21,15,41,700,35573.5
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,20,47,88,650,36748.5
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,4,7,83,650,37110
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,6,2,41,700,37127.6
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,65,72,177,600,37586.3
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,45,33,26,750,37609.5
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,4,3,69,650,38620.6
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,5,1,33,700,38782
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,55,71,137,600,38940.1
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,54,50,137,600,39090.4
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,16,20,53,700,39331.5
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,59,59,137,600,39434.3
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,26,18,47,700,40365
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,9,10,47,700,40807.5
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,27,35,88,650,42077
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,61,75,137,600,42079.8
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,60,75,137,600,42329.2
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,18,0,18,750,42527.3
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,28,21,53,700,42837.1
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,20,12,26,750,44380.3
9,0.06,0.46,1.49,0.032,0.026,12.48,17.43,2.49,0.15,0.009,0.025,0.0008,0.0189,0.04,38,18,26,750,44459.3
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,51,67,137,600,45688.2
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,3,13,88,650,46314.3
13,0.08,0.67,1.44,0.026,0.009,12.3,17.11,2.31,0.35,0.013,0.006,0.001,0.0186,0.04,34,19,26,750,46416.6
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,22,41,88,650,47073.3
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,47,47,88,650,47233.2
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,19,13,47,700,47416.5
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,31,31,53,700,48497.2
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,23,37,88,650,48580.2
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,25,18,20,800,48834.7
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,14,17,83,650,49051
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,40,48,127,600,49271.8
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,22,35,61,700,50195.5
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,64,78,137,600,51914
10,0.07,0.73,1.62,0.029,0.019,11.92,16.97,2.45,0.14,0.009,0.022,0.0013,0.0159,0.04,32,22,26,750,53844
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,7,5,41,700,54240.6
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,13,10,47,700,54325.7
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,4,1,69,650,54529.9
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,30,40,53,700,54592.6
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,4,1,33,700,55366.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,20,36,88,650,55367
15,0.06,0.74,1.7,0.038,0.011,13.04,17.31,2.56,0.3,0.011,0.005,0.0011,0.0192,0.04,79,42,41,700,56959.2
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,13,21,137,600,57191.8
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,66,42,123,600,58106.8
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,3,4,78,650,58444.1
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,13,20,83,650,58464.6
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,10,17,137,600,59021.7
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,7,2,29,700,59459.4
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,4,2,53,650,59828.4
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,36,44,88,650,61153
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,51,67,127,600,61463.9
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,33,43,127,600,62873.3
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,15,17,78,650,63269.6
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,65,65,127,600,63872.6
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,29,39,83,650,64516.7
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,36,26,47,700,65751.8
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,14,20,78,650,65752.1
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,6,3,29,700,66350.4
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,57,51,127,600,68090.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,29,34,53,700,69139.3
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,33,49,265,550,70352.8
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,37,46,123,600,70750.7
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,14,7,41,700,71503.6
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,27,31,53,700,72737
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,3,2,61,650,74012
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,13,10,41,700,75033.7
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,11,16,127,600,75363.6
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,5,1,69,650,76273.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,21,34,53,700,77514
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,40,56,127,600,78055.8
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,11,15,78,650,78146.5
1,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,0.01,37,44,118,600,78637.4
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,8,19,137,600,81217.1
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,26,34,78,650,81541.7
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,24,37,83,650,82077.7
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,35,36,47,700,84836.2
18,0.012,0.56,0.81,0.024,0.004,10.67,16.39,2.11,0.27,0.0006,0.011,0.001,0.081,0.001,19,15,41,700,84875.9
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,58,72,127,600,85719.8
3,0.058,0.58,1.56,0.027,0.008,13.65,16.86,2.14,0.17,0.028,0.041,0.0009,0.025,0.01,5,1,53,650,85830.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,19,33,53,700,89543.7
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,38,55,118,600,95664.9
4,0.078,0.62,1.6,0.021,0.008,13.51,16.9,2.08,0.16,0.037,0.031,0.001,0.028,0.01,8,16,127,600,95836
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,59,53,118,600,99189.7
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,46,42,78,650,99320.7
0,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,0.02,22,32,118,600,102824.8
8,0.06,0.52,1.58,0.025,0.007,13.6,16.6,2.31,0.26,0.029,0.021,0.0007,0.0224,0.01,29,42,118,600,105029.3
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,26,30,47,700,105624.1
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,22,27,47,700,116785.6
5,0.066,0.63,1.73,0.029,0.024,13.16,17.07,2.34,0.13,0.055,0.095,0.002,0.028,0.01,9,10,127,600,119600.9
16,0.05,0.74,1.74,0.035,0.006,11.19,17.6,2.32,0.28,0.014,0.005,0.0007,0.023,0.03,23,15,26,750,130477.9
7,0.06,0.52,1.6,0.025,0.007,13.3,16.7,2.25,0.24,0.06,0.02,0.0008,0.0318,0.01,41,55,118,600,142185.9
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,26,39,108,600,152758
2,0.05,0.71,1.52,0.022,0.013,13.5,17.5,2.28,0.17,0.055,0.027,0.0013,0.035,0.02,28,37,108,600,173814.3
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,25,23,41,700,178190.4
6,0.07,0.61,1.65,0.025,0.007,13.6,16.6,2.33,0.26,0.043,0.017,0.0011,0.025,0.01,14,22,41,700,222705.3
